relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyTotalQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx,sourceSeeds
평택형사전문변호사,610,610,1220,0.3,2.4,0.06,0.44,10,높음,창원 형사전문변호사 | 창원 형사 변호사
이혼후양육비,840,380,1220,0,1.2,0,0.35,10,높음,재산분할 변호사
명예훼손벌금,220,990,1210,0.5,8.4,0.24,0.89,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
대구성범죄전문변호사,270,930,1200,0,1.8,0,0.21,10,높음,창원 성범죄 변호사
이혼소송서류,880,320,1200,0.1,6.6,0.02,2.2,10,높음,재산분할 변호사
모욕죄처벌,150,1030,1180,0.3,17,0.2,1.71,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
외도이혼,1010,150,1160,0,0.4,0,0.32,10,높음,재산분할 변호사
이혼비용,800,360,1160,0.2,8,0.03,2.47,10,높음,재산분할 변호사
국제결혼이혼,880,260,1140,1.1,5.4,0.15,2.34,10,높음,재산분할 변호사
부산이혼소송변호사,980,140,1120,0.2,5.6,0.03,4.15,10,높음,창원 이혼 변호사
인천이혼소송변호사,1060,60,1120,0.6,0.4,0.07,0.68,10,높음,창원 이혼 변호사
사실혼위자료,910,210,1120,0,1.6,0,0.84,10,높음,재산분할 변호사
이혼신청,830,280,1110,0.2,1,0.03,0.39,10,높음,재산분할 변호사
이혼법률사무소,910,200,1110,0.5,5.2,0.07,2.67,10,높음,재산분할 변호사
창원형사전문변호사,820,280,1100,0.3,8.2,0.04,2.89,10,높음,창원 검사출신 변호사 | 창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 이혼 변호사 | 창원 형사 변호사 | 창원 변호사
이혼상담소,830,270,1100,0,2.6,0,0.99,7,높음,재산분할 변호사
부산법무법인,540,560,1100,3.6,17.6,0.69,3.28,10,높음,창원 변호사
목포변호사,410,690,1100,0.3,5.8,0.1,0.86,10,높음,창원 변호사
인천법무법인,230,870,1100,1.9,8.4,0.9,1.02,10,높음,창원 변호사
수원음주운전전문변호사,460,630,1090,0,1.4,0,0.23,10,높음,창원 음주운전 변호사
세종이혼전문변호사,890,180,1070,0.3,1.6,0.04,0.95,7,높음,창원 이혼 변호사
대구이혼소송변호사,970,90,1060,0.8,5,0.1,5.44,10,높음,창원 이혼 변호사
재산분할기여도,1020,40,1060,0,0.5,0,1.06,10,높음,재산분할 변호사
대전이혼소송변호사,960,90,1050,0.1,0.2,0.02,0.23,10,높음,창원 이혼 변호사
부산상간녀소송,940,100,1040,0.2,1.8,0.03,1.72,10,높음,창원 이혼 변호사
재산분할협의서,910,130,1040,0.1,0.8,0.02,0.64,10,높음,재산분할 변호사
조정이혼비용,850,190,1040,0,5,0,2.72,10,높음,재산분할 변호사
이혼상담비용,840,190,1030,0.5,7.4,0.07,4.16,10,높음,재산분할 변호사
이혼변호사선임비용,940,80,1020,0,2.2,0,2.53,7,높음,창원 이혼 변호사 | 재산분할 변호사
강제조정,890,130,1020,0,1,0,0.77,10,높음,재산분할 변호사
이혼소송상담,910,110,1020,0.2,2.8,0.03,2.46,10,높음,재산분할 변호사
이혼귀책사유,800,220,1020,0.1,3,0.02,1.42,10,높음,재산분할 변호사
동탄이혼변호사,910,100,1010,0.2,5,0.03,5.27,10,높음,창원 이혼 변호사
명예회손고소,160,820,980,0.6,8.6,0.39,1.09,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
실화죄,180,800,980,0,2.6,0,0.34,7,높음,모욕죄 변호사
양육비청구,850,130,980,0,2.4,0,1.84,10,높음,재산분할 변호사
이혼유책사유,840,140,980,0,0,0,0,7,높음,재산분할 변호사
형사법,300,670,970,0.4,1.8,0.14,0.28,10,높음,모욕죄 변호사
재판이혼소송비용,830,140,970,0,5,0,3.85,10,높음,재산분할 변호사
이혼소송전문변호사,910,60,970,0,2,0,3.58,10,높음,재산분할 변호사
이혼소송답변서,880,90,970,0.1,1.2,0.02,1.41,7,높음,재산분할 변호사
양육권친권,850,120,970,0,0.2,0,0.17,10,높음,재산분할 변호사
인천성추행변호사,480,480,960,0,1.8,0,0.37,7,높음,창원 성범죄 변호사
이혼상담변호사,880,80,960,0,4,0,5.07,10,높음,창원 이혼 변호사
재산분할변호사,840,120,960,0.2,4,0.03,3.39,10,높음,재산분할 변호사
이혼합의서,350,610,960,1.1,2.6,0.34,0.47,10,높음,재산분할 변호사
마약류관리법,480,470,950,0,0.2,0,0.05,10,높음,마약 변호사
재판상이혼,850,90,940,0,0.4,0,0.45,10,높음,재산분할 변호사
협의이혼변호사,820,120,940,0,1.8,0,1.56,10,높음,재산분할 변호사
파혼위자료,820,110,930,0.2,0.4,0.03,0.36,10,높음,재산분할 변호사
청주법무법인,800,130,930,1.6,3.2,0.22,2.52,10,높음,창원 변호사
사실이혼,850,70,920,0,1.2,0,1.67,7,높음,재산분할 변호사
협의이혼비용,820,100,920,0.1,2.8,0.02,2.89,10,높음,재산분할 변호사
이혼하려면,840,70,910,0,0.6,0,0.84,10,높음,재산분할 변호사
마약류관리에관한법률,580,320,900,0.1,0.2,0.02,0.07,10,높음,마약 변호사
명예훼손고소,180,720,900,1,5.4,0.55,0.79,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
유책배우자양육권,820,80,900,0,0,0,0,3,높음,재산분할 변호사
이혼법무법인,860,40,900,1.1,2.4,0.16,5.11,10,높음,재산분할 변호사
양육비증액소송,830,70,900,0,0.6,0,0.84,10,높음,재산분할 변호사
이혼상담전화,810,80,890,0.6,3,0.09,3.71,10,높음,창원 이혼 변호사
사실혼소송,840,50,890,0,0.6,0,1.18,10,높음,재산분할 변호사
이혼소장답변서,840,50,890,0,0.6,0,1.23,7,높음,재산분할 변호사
이혼법무사,790,100,890,0.1,3.2,0.02,3.41,10,높음,재산분할 변호사
인천성범죄전문변호사,380,490,870,0,0.8,0,0.17,10,높음,창원 성범죄 변호사
사실혼이혼소송,810,60,870,0,0.7,0,1.19,7,높음,재산분할 변호사
합의이혼변호사,820,50,870,0.3,1,0.05,2,7,높음,재산분할 변호사
이혼소송기각,820,50,870,0,1.6,0,3.27,10,높음,재산분할 변호사
유책배우자소송,830,40,870,0,0.9,0,2.32,7,높음,재산분할 변호사
양육비변호사,800,70,870,0.4,5.4,0.06,7.2,10,높음,재산분할 변호사
외국인이혼,800,60,860,0.1,0.6,0.02,0.99,10,높음,재산분할 변호사
국제이혼변호사,810,50,860,0,4.6,0,9.2,10,높음,재산분할 변호사
광주상간녀소송,830,20,850,0,0.8,0,3.08,10,높음,창원 이혼 변호사
불륜이혼,740,110,850,0,0,0,0,3,높음,재산분할 변호사
합의이혼상담,820,20,840,0.3,0.4,0.05,1.6,7,높음,재산분할 변호사
양육비상담,770,70,840,0,4.4,0,6.48,10,높음,재산분할 변호사
여성의전화,350,480,830,0,0,0,0,2,중간,창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 형사 변호사 | 창원 변호사
전주이혼변호사,240,590,830,0.7,5.2,0.31,0.96,10,높음,창원 이혼 변호사
정보통신망법명예훼손,260,570,830,0.6,4.4,0.23,0.82,7,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
이혼무효소송,790,40,830,0,0.2,0,0.57,10,높음,재산분할 변호사
이혼로펌,790,40,830,0,0.6,0,1.34,10,높음,재산분할 변호사
재산분할상담,790,30,820,0,0.8,0,2.67,7,높음,재산분할 변호사
이혼재산분할합의서,810,10,820,0,0,0,0,7,높음,재산분할 변호사
이혼변호사선임,800,20,820,0.1,0.4,0.03,1.91,7,높음,재산분할 변호사
이혼전담변호사,810,< 10,820,0.1,1.2,0.03,17.15,7,높음,재산분할 변호사
이혼전문변호,790,30,820,0,0.6,0,2,7,높음,재산분할 변호사
가출이혼,780,40,820,0,0.2,0,0.55,10,높음,재산분할 변호사
이승혜변호사,160,650,810,0,0,0,0,0,낮음,창원 성범죄 변호사
대구음주운전전문변호사,330,480,810,0,1.6,0,0.34,10,높음,창원 음주운전 변호사
인천음주운전전문변호사,290,520,810,0.3,0,0.11,0,10,높음,창원 음주운전 변호사
이혼재산분할소송,790,20,810,0,0.8,0,3.85,7,높음,재산분할 변호사
이혼항소,790,20,810,0,0,0,0,10,높음,재산분할 변호사
사실혼전문변호사,800,< 10,810,0,0.8,0,10,7,높음,재산분할 변호사
양육비소송비용,770,40,810,0,0.6,0,1.77,10,높음,재산분할 변호사
김포이혼전문변호사,100,700,800,0.1,3.4,0.15,0.5,7,높음,창원 이혼 변호사
동탄이혼,790,< 10,800,0,0,0,0,7,높음,창원 이혼 변호사 | 재산분할 변호사
이혼재산분할상담,770,30,800,0,2.8,0,8.24,7,높음,재산분할 변호사
여자이혼변호사,780,20,800,0,0,0,0,7,높음,재산분할 변호사
대구강제추행변호사,490,300,790,0,0.2,0,0.07,7,높음,창원 성범죄 변호사
재산분할이혼,780,10,790,0,0,0,0,7,높음,재산분할 변호사
사실혼변호사,770,20,790,0.1,0.8,0.02,4.22,10,높음,재산분할 변호사
부산재산분할변호사,770,10,780,0,1.2,0,10.91,7,높음,창원 이혼 변호사
의정부이혼변호사,260,520,780,0.2,3,0.08,0.66,10,높음,창원 이혼 변호사
의정부형사전문변호사,490,290,780,2.1,2.6,0.46,0.9,10,높음,창원 변호사
대전성범죄변호사,570,200,770,1.6,5.6,0.32,2.78,10,높음,창원 성범죄 변호사
대구성추행변호사,330,440,770,0.3,2.4,0.09,0.54,7,높음,창원 성범죄 변호사
안산이혼전문변호사,490,280,770,1.1,5.6,0.24,2.21,10,높음,창원 이혼 변호사
강릉변호사,180,590,770,0.1,8,0.06,1.39,10,높음,창원 변호사
재산분할청구,740,20,760,0,0,0,0,7,높음,재산분할 변호사
이혼소송전문,750,10,760,0,0.6,0,4,7,높음,재산분할 변호사
정보통신망법위반,210,540,750,0.1,3.4,0.05,0.65,10,높음,사이버 명예훼손 변호사
부산법률사무소,130,620,750,1.3,5.8,1.04,0.99,10,높음,창원 변호사
친권,200,540,740,0.1,0.2,0.06,0.05,10,높음,재산분할 변호사
자살방조죄,90,640,730,0,1,0,0.17,7,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
면접교섭불이행,60,670,730,0.4,4,0.62,0.64,10,높음,재산분할 변호사
서울음주운전변호사,630,90,720,0,1.2,0,1.45,10,높음,창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 변호사
의정부성범죄변호사,610,100,710,0.2,0.5,0.04,0.46,10,높음,창원 성범죄 변호사
강남형사전문변호사,470,230,700,0.2,0.6,0.05,0.27,10,높음,창원 형사전문변호사 | 창원 형사 변호사
합의이혼서류양식,260,440,700,1.7,2.6,0.72,0.68,10,높음,재산분할 변호사
성매매변호사,270,420,690,0.5,4,0.3,1.19,10,높음,창원 성범죄 변호사
대전형사변호사,230,450,680,0.5,7.6,0.23,1.71,10,높음,창원 형사전문변호사 | 창원 형사 변호사
성범죄피해자변호사,360,300,660,0.7,9.8,0.22,3.24,10,높음,창원 성범죄 변호사
광주형사전문변호사,490,170,660,1.3,4.8,0.29,2.91,10,높음,창원 형사전문변호사 | 창원 형사 변호사
정보통신망이용촉진및정보보호등에관한법률,560,100,660,0,0,0,0,7,높음,사이버 명예훼손 변호사
인천법률사무소,140,520,660,0.7,7.4,0.52,1.51,10,높음,창원 변호사
대전법무법인,90,560,650,3.4,10.4,3.66,2,10,높음,창원 사기 변호사 | 창원 변호사
허위사실유포,200,450,650,0.3,2.2,0.15,0.51,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
명예훼손공소시효,110,540,650,0.7,8.8,0.66,1.73,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
협의이혼합의서,230,420,650,1,3.4,0.46,0.86,10,높음,재산분할 변호사
대구변호사사무실,440,210,650,0.6,7.6,0.15,3.68,10,높음,창원 변호사
부산강제추행변호사,350,290,640,0,0.6,0,0.21,10,높음,창원 성범죄 변호사
사이버명예훼손,220,410,630,0.5,1.6,0.23,0.42,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
유튜브댓글고소,120,510,630,0.1,0.8,0.09,0.17,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
울산형사전문변호사,220,400,620,0.3,3,0.15,0.82,10,높음,창원 형사전문변호사 | 창원 형사 변호사 | 창원 변호사
서울법률사무소,50,570,620,0.6,1.8,1.02,0.33,10,높음,창원 변호사
광주형사변호사,360,240,600,0,3.2,0,1.43,10,높음,창원 형사전문변호사 | 창원 형사 변호사
